Longitude,Latitude,Loc_ID,Type
120.8763492,17.71183938,Abra-Lacub-Lan-Ag,Village
120.9672385,17.69871467,Abra-Lacub-Pacoc,Village
120.9664994,17.66304219,Abra-Lacub-Poblacion,Village
120.7275871,17.61412317,Abra-Lagangilang-Aguet,Village
120.8050661,17.65963432,Abra-Lagangilang-Bacooc,Village
120.7375129,17.62176635,Abra-Lagangilang-Balais,Village
120.7971368,17.64077694,Abra-Lagangilang-Cayapa,Village
120.7438235,17.58150811,Abra-Lagangilang-Dalaguisen,Village
120.7332324,17.6081119,Abra-Lagangilang-Laang,Village
120.7269896,17.62385611,Abra-Lagangilang-Lagben,Village
120.7542565,17.61868106,Abra-Lagangilang-Laguiben,Village
120.7855543,17.61585141,Abra-Lagangilang-Nagtipulan,Village
120.7362108,17.58747383,Abra-Lagangilang-Nagtupacan,Village
120.805624,17.68343746,Abra-Lagangilang-Paganao,Village
120.7314275,17.59375952,Abra-Lagangilang-Pawa,Village
120.736801,17.61532731,Abra-Lagangilang-Poblacion,Village
120.7284455,17.60057258,Abra-Lagangilang-Presentar,Village
120.7762623,17.58621468,Abra-Lagangilang-San Isidro,Village
120.7609923,17.60198443,Abra-Lagangilang-Tagodtod,Village
120.7571891,17.5813765,Abra-Lagangilang-Taping,Village
120.7418609,17.73648874,Abra-Lagayan-Ba-I,Village
120.7151981,17.79833708,Abra-Lagayan-Collago,Village
120.7689635,17.77147888,Abra-Lagayan-Pang-Ot,Village
120.690287,17.71972374,Abra-Lagayan-Poblacion,Village
120.6974241,17.74043026,Abra-Lagayan-Pulot,Village
120.5742241,17.60506724,Abra-Langiden-Baac,Village
120.5620263,17.57604165,Abra-Langiden-Dalayap,Village
120.5144068,17.58628973,Abra-Langiden-Mabungtot,Village
120.5387215,17.63569395,Abra-Langiden-Malapaao,Village
120.5694445,17.58309604,Abra-Langiden-Poblacion,Village
120.587394,17.58400105,Abra-Langiden-Quillat,Village
120.8510667,17.59699455,Abra-Licuan-Baay-Bonglo,Village
120.8145945,17.55519609,Abra-Licuan-Baay-Bulbulala,Village
120.9125214,17.58399744,Abra-Licuan-Baay-Cawayan,Village
120.9455013,17.62878813,Abra-Licuan-Baay-Domenglay,Village
120.8561254,17.63709737,Abra-Licuan-Baay-Lenneng,Village
120.8790077,17.51034058,Abra-Licuan-Baay-Mapisla,Village
120.9206961,17.61211372,Abra-Licuan-Baay-Mogao,Village
120.9038281,17.56099509,Abra-Licuan-Baay-Nalbuan,Village
120.8953264,17.60786557,Abra-Licuan-Baay-Poblacion,Village
120.9405861,17.52526263,Abra-Licuan-Baay-Subagan,Village
120.8590472,17.55781582,Abra-Licuan-Baay-Tumalip,Village
120.7357722,17.3448387,Abra-Luba-Ampalioc,Village
120.6725279,17.3732058,Abra-Luba-Barit,Village
120.6715767,17.28402743,Abra-Luba-Gayaman,Village
120.6410978,17.30776174,Abra-Luba-Lul-Luno,Village
120.6936953,17.3634685,Abra-Luba-Luzong,Village
120.6561409,17.33730497,Abra-Luba-Nagbukel-Tuquipa,Village
120.6905706,17.32129742,Abra-Luba-Poblacion,Village
120.721036,17.31602834,Abra-Luba-Sabnangan,Village
120.9818191,17.63598909,Abra-Malibcong-Bayabas,Village
