barangay,municipality,province,case_status,date,case_status_fct,case_type,year,island
Santa Cruz,Naujan,Oriental Mindoro,Confirmed,11/05/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Nag-Iba II,Calapan City,Oriental Mindoro,Confirmed,28/05/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Melgar B,Naujan,Oriental Mindoro,Confirmed,08/08/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Rosario,Pinamalayan,Oriental Mindoro,Confirmed,13/09/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Narra,Gloria,Oriental Mindoro,Confirmed,18/06/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Bulusan,Calapan City,Oriental Mindoro,Confirmed,20/06/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Bulusan,Calapan City,Oriental Mindoro,Confirmed,02/07/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Villa Cerveza,Victoria,Oriental Mindoro,Confirmed,24/09/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Ilaya,Calapan City,Oriental Mindoro,Confirmed,26/09/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
B. Del Mundo,Mansalay,Oriental Mindoro,Confirmed,30/09/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Santa Isabel,Calapan City,Oriental Mindoro,Confirmed,18/10/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Narra,Gloria,Oriental Mindoro,Confirmed,23/10/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Poblacion IV,Victoria,Oriental Mindoro,Confirmed,07/11/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Maligaya,Gloria,Oriental Mindoro,Confirmed,18/11/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Camilmil,Calapan City,Oriental Mindoro,Confirmed,25/07/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
